Data Source,DISTRICT,Variety,Yield
ARD,Narayanganj,BRRI dhan96,6.5
ARD,Narayanganj,BRRI dhan104,6.5
ARD,Narayanganj,BRRI dhan104,6.9
ARD,Narayanganj,BRRI hybrid dhan8,7.5
ARD,Narayanganj,BRRI dhan96,6.5
ARD,Narayanganj,BRRI dhan102,6.2
ARD,Narayanganj,BRRI dhan107,6
ARD,Narayanganj,BRRI dhan92,7
ARD,Narayanganj,BRRI dhan105,6.5
ARD,Kishoreganj,BRRI dhan108,8.31
ARD,Kishoreganj,BRRI dhan104,7.21
ARD,Kishoreganj,BRRI dhan102,7.82
ARD,Kishoreganj,BRRI dhan102,7.83
ARD,Kishoreganj,BRRI hybrid dhan8,8.12
ARD,Kishoreganj,BRRI dhan105,7.21
ARD,Kishoreganj,BRRI dhan96,6.81
ARD,Kishoreganj,BRRI dhan89,8.13
ARD,Kishoreganj,BRRI dhan104,7.12
ARD,Kishoreganj,BRRI dhan89,8.21
ARD,Kishoreganj,BRRI dhan96,6.81
ARD,Narsingdi,BRRI dhan102,5.26
ARD,Narsingdi,BRRI hybrid dhan8,7.17
ARD,Narsingdi,BRRI dhan108,7.72
ARD,Narsingdi,BRRI dhan107,5.37
ARD,Narsingdi,BRRI dhan105,6.11
ARD,Narsingdi,BRRI dhan89,5.34
ARD,Narsingdi,BRRI dhan104,5.5
ARD,Narsingdi,BRRI dhan102,5.49
ARD,Narsingdi,BRRI dhan105,5.85
ARD,Narsingdi,BRRI dhan89,5.42
ARD,Narsingdi,BRRI dhan107,5.87
ARD,Narsingdi,BRRI dhan104,5.61
ARD,Kishoreganj,BRRI dhan96,5.92
ARD,Kishoreganj,BRRI dhan96,5.82
ARD,Kishoreganj,BRRI dhan102,5.53
ARD,Kishoreganj,BRRI dhan102,5.71
ARD,Kishoreganj,BRRI dhan107,6.14
ARD,Kishoreganj,BRRI dhan107,6.27
ARD,Kishoreganj,BRRI dhan105,6.21
ARD,Kishoreganj,BRRI dhan108,7.59
ARD,Kishoreganj,BRRI dhan104,5.51
ARD,Kishoreganj,BRRI dhan92,7.13
ARD,Kishoreganj,BRRI dhan92,5.72
ARD,Kishoreganj,BRRI dhan104,5.88
ARD,Narsingdi,BRRI dhan102,8.2
ARD,Narsingdi,BRRI dhan108,8.65
ARD,Narsingdi,BRRI dhan107,8.14
ARD,Narsingdi,BRRI dhan92,7.8
ARD,Narsingdi,BRRI hybrid dhan8,9.62
ARD,Narsingdi,BRRI dhan105,7.5
ARD,Narsingdi,BRRI dhan107,8.2
ARD,Narsingdi,BRRI dhan92,7.85
ARD,Narsingdi,BRRI dhan105,7.6
ARD,Narsingdi,BRRI dhan104,7.28
ARD,Sherpur,BRRI dhan102,7.6
ARD,Sherpur,BRRI dhan89,7.7
ARD,Sherpur,BRRI dhan105,7.8
ARD,Sherpur,BRRI dhan107,7.8
ARD,Sherpur,BRRI dhan104,7.3
ARD,Sherpur,BRRI hybrid dhan8,9.6
ARD,Sherpur,BRRI dhan89,7.6
ARD,Sherpur,BRRI dhan89,7.5
ARD,Sherpur,BRRI dhan92,7.9
ARD,Sherpur,BRRI dhan92,7.7
ARD,Sherpur,BRRI dhan102,7.8
ARD,Sherpur,BRRI dhan102,7.6
ARD,Sherpur,BRRI dhan104,6.9
ARD,Sherpur,BRRI dhan104,6.7
ARD,Sherpur,BRRI dhan105,7.9
ARD,Sherpur,BRRI dhan105,7.8
ARD,Sherpur,BRRI dhan107,7.8
ARD,Sherpur,BRRI dhan107,7.9
ARD,Sherpur,BRRI dhan108,8.1
ARD,Sherpur,BRRI dhan108,7.9
ARD,Sherpur,BRRI hybrid dhan8,9.7
ARD,Khagrachari,BRRI dhan96,6.7
ARD,Khagrachari,BRRI dhan105,7.9
ARD,Khagrachari,BRRI dhan96,6.9
ARD,Khagrachari,BRRI dhan107,7.8
ARD,Khagrachari,BRRI dhan104,6.8
ARD,Khagrachari,BRRI hybrid dhan8,9.9
ARD,Khagrachari,BRRI dhan104,6.9
ARD,Khagrachari,BRRI hybrid dhan8,9.8
ARD,Khagrachari,BRRI dhan96,6.9
ARD,Khagrachari,BRRI dhan96,6.5
ARD,Khagrachari,BRRI dhan102,7.8
ARD,Khagrachari,BRRI dhan102,7.6
ARD,Khagrachari,BRRI dhan104,7.1
ARD,Khagrachari,BRRI dhan104,7.3
ARD,Khagrachari,BRRI dhan105,7.9
ARD,Khagrachari,BRRI dhan107,8.1
ARD,Khagrachari,BRRI dhan108,8.3
ARD,Khagrachari,BRRI hybrid dhan8,8.1
ARD,Sherpur,BRRI dhan102,7.8
ARD,Sherpur,BRRI dhan92,7.7
Bhanga RS,Madaripur,BRRI dhan88,7.352661499
Bhanga RS,Madaripur,BRRI dhan108,8.706356589
Bhanga RS,Madaripur,BRRI dhan107,8.052906977
Bhanga RS,Madaripur,BRRI dhan88,7.974276486
Bhanga RS,Madaripur,BRRI dhan108,8.518333333
Bhanga RS,Madaripur,BRRI dhan108,8.444651163
Bhanga RS,Madaripur,BRRI dhan89,8.522144703
Bhanga RS,Madaripur,BRRI dhan88,7.669586563
Bhanga RS,Madaripur,BRRI dhan88,7.726395349
Bhanga RS,Madaripur,BRRI dhan92,8.277906977
Bhanga RS,Madaripur,BRRI dhan96,7.500400517
Bhanga RS,Madaripur,BRRI dhan108,8.502790698
Bhanga RS,Madaripur,BRRI dhan92,8.612348837
Bhanga RS,Madaripur,BRRI dhan96,6.858604651
Bhanga RS,Madaripur,BRRI dhan107,7.503488372
Bhanga RS,Madaripur,BRRI dhan96,6.75
Bhanga RS,Madaripur,BRRI dhan108,8.13994186
Bhanga RS,Madaripur,BRRI dhan92,8.555112403
Bhanga RS,Madaripur,BRRI dhan88,7.802325581
Bhanga RS,Madaripur,BRRI dhan107,7.780465116
Bhanga RS,Madaripur,BRRI dhan107,7.339870801
Bhanga RS,Madaripur,BRRI dhan108,8.281705426
Bhanga RS,Madaripur,BRRI dhan108,8.403643411
Bhanga RS,Madaripur,BRRI dhan108,8.046925065
Bhanga RS,Madaripur,BRRI dhan92,8.433372093
Bhanga RS,Madaripur,BRRI dhan92,8.372364341
Bhanga RS,Madaripur,BRRI dhan108,7.98
Bhanga RS,Madaripur,BRRI dhan107,7.320219638
Bhanga RS,Madaripur,BRRI dhan92,7.890465116
Bhanga RS,Madaripur,BRRI dhan92,8.01505168
Bhanga RS,Madaripur,BRRI dhan107,7.409302326
Bhanga RS,Madaripur,BRRI dhan107,7.811007752
Bhanga RS,Madaripur,BRRI dhan96,6.692235142
Bhanga RS,Madaripur,BRRI dhan96,6.706589147
Bhanga RS,Madaripur,BRRI dhan89,8.347726098
Bhanga RS,Madaripur,BRRI dhan108,8.13501292
Bhanga RS,Madaripur,BRRI dhan89,8.292377261
Bhanga RS,Madaripur,BRRI dhan89,7.824496124
Bhanga RS,Madaripur,BRRI dhan107,7.723514212
Bhanga RS,Madaripur,BRRI dhan89,8.078565891
